"Day","Susceptible","New Infections","Exposed","Infected","Hospitalized","Critical","Recovered","Dead","date","Cases"
151,16044278.4061365,130077.627337127,422683.920081866,375990.165706555,3883.61479296395,1115.06986488535,1962910.71208809,927.324204364684,2020-08-29,135076.311994976
152,15910825.410936,133452.995200558,435370.080852553,389331.238398556,4040.94784834139,1170.04017124498,2070065.26834639,986.226322193927,2020-08-30,138663.983220144
153,15774171.2744454,136654.136490604,447632.765546608,402485.193398566,4198.33170491285,1226.21514769709,2181027.34167926,1048.09095284747,2020-08-31,142078.683343214
154,15634512.5063726,139658.768072779,459396.457621032,415384.499739477,4355.10498096974,1283.46577466851,2295744.19001919,1112.98836732835,2020-09-01,145297.338828417
155,15492067.4001854,142445.106187184,470585.432928093,427959.344861068,4510.56525788112,1341.64639276604,2414143.84092257,1180.98232746862,2020-09-02,148297.317837831
156,15347075.2494979,144992.150687529,481124.602644571,440138.227178111,4663.97312326357,1400.59458475651,2536134.43666364,1252.12918303289,2020-09-03,151056.718395549
157,15199795.2742684,147279.975229528,490940.405552472,451848.620180239,4814.55709082913,1460.13125613873,2661603.74757061,1326.47695661735,2020-09-04,153554.663576496
158,15050505.2562959,149290.017972473,499961.73608397,463017.701726332,4961.51939124217,1520.06093397187,2790418.87401735,1404.06442651065,2020-09-05,155771.598297687
159,14899499.8894157,151005.366880144,508120.892511562,473573.140124784,5104.04260846709,1580.17230140384,2922426.1556945,1484.92021880582,2020-09-06,157689.581790015
160,14747088.8560676,152411.033348104,515354.527854042,483443.926530877,5241.29711474535,1640.23898244297,3057451.30440444,1569.06192107733,2020-09-07,159292.569445292
161,14593594.6483951,153494.207672488,521604.584563846,492561.241203756,5372.44923492607,1700.02058793201,3195299.77365883,1656.49523082822,2020-09-08,160566.677495347
162,14439350.1585562,154244.489838979,526819.192949839,500859.339314937,5496.67004789974,1759.26402942779,3335757.37482436,1747.2131526305,2020-09-09,161500.423916307
163,14284696.0692799,154654.08927625,530953.51266133,508276.440360898,5613.14470995484,1817.70510279856,3478591.14550197,1841.19525839218,2020-09-10,162084.939089003
164,14129978.0816726,154717.987607317,533970.496499422,514755.603881786,5721.0821626869,1875.07033788309,3623550.47129544,1938.40702544726,2020-09-11,162314.140107887
165,13975544.0226137,154434.059058941,535841.556405966,520245.573206601,5819.72506742085,1931.07910459687,3770368.45720987,2038.79926714875,2020-09-12,162184.863230959
166,13821740.8785571,153803.144056557,536547.112764864,524701.568410875,5908.3597898118,1985.44595953595,3918763.53972276,2142.30767031768,2020-09-13,161696.949805905
167,13668911.8059272,152829.072629854,536077.010165743,528086.009658256,5986.32624326603,2037.88321056209,4068441.32521695,2248.85245323766,2020-09-14,160853.282083682
168,13517393.1703708,151518.635556487,534430.78552171,530369.152662679,6053.02738898123,2088.103670227,4219096.63510404,2358.33815686781,2020-09-15,159659.766615695
169,13367511.6677339,149881.502636871,531617.777856826,531529.619194991,6107.93818461464,2135.8235624091,4370415.73276196,2470.65358056671,2020-09-16,158125.264383895
170,13219581.5786686,147930.089065264,527657.073096821,531554.807384112,6150.61377362573,2180.76554041638,4522078.70253978,2585.67187187697,2020-09-17,156261.468379307
171,13073902.2061962,145679.372472463,522577.281676576,530441.169015201,6180.6967138217,2222.66176929327,4673761.94672638,2703.25077782864,2020-09-18,154082.730955578
172,12930755.5414098,143146.664786394,516416.151548926,528194.344059061,6197.92305695018,2261.25702040453,4825140.76271735,2823.23306280336,2020-09-19,151605.844863748
173,12790404.1969012,140351.344508575,509220.024038831,524829.146195657,6202.1271114386,2296.31172279581,4975891.95981004,2945.44709530202,2020-09-20,148849.783342809
174,12653089.6406414,137314.556259798,501043.144713471,520369.397003533,6193.24474734443,2327.60491357396,5125696.47325291,3069.70760302705,2020-09-21,145835.405920716
175,12519030.7552018,134058.885439562,491946.845806029,514847.610629422,6171.31513566546,2354.93702880022,5274241.93248091,3195.81659259496,2020-09-22,142585.137604028
176,12388422.7386842,130608.016517592,481998.6205242,508304.534959053,6136.48085240796,2378.13247729159,5421225.14095106,3323.56442701114,2020-09-23,139122.629847291
177,12261436.3548862,126986.383798072,471271.112606214,500788.559398721,6088.98631992988,2397.04194236347,5566354.42667101,3452.73105085513,2020-09-24,135472.412060365
178,12138217.5314303,123218.823455907,459841.046611411,492355.003163857,6029.17460248465,2411.54436093418,5709351.82535628,3583.08735003384,2020-09-25,131659.542419326
179,12018887.2961804,119330.235249819,447788.125555158,483065.30128244,5957.48261780659,2421.54853548461,5849955.06207387,3714.39663005744,2020-09-26,127709.26640311
180,11903542.034579,115345.261601425,435193.922584312,472986.108207423,5874.43487011329,2426.99434197961,5987919.30209824,3846.41619417433,2020-09-27,123646.690813517
181,11792254.0438358,111287.990743189,422140.792464786,462188.340875737,5780.63585018275,2427.8535057905,6123018.64734248,3978.89900045352,2020-09-28,119496.480099163
182,11685072.3543903,107181.689445548,408710.826799783,450746.184175451,5676.7612834507,2424.12992761846,6255047.36092357,4111.59537510619,2020-09-29,115282.580656617
183,11582023.7848827,103048.569507601,394984.874247814,438736.082056107,5563.54843586976,2415.85955206094,6383820.80894267,4244.25475805514,2020-09-30,111027.977495532
184,11483114.1940708,98909.5908119103,381041.643733211,426235.736955523,5441.78570841707,2403.10978240129,6509176.1151689,4376.62745603995,2020-10-01,106754.486302729
